pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-2792.968343,-8757.066676,22.913511]",807,3125,3.259165,2.794618,331.562775,204.704489,69347.804688,71064.609375,47982.718750,49703.933594,21365.080078,21352.373047,0.000000,8.279210,0.376190,0.388889,
"[-2825.032933,-9487.354974,9.899129]",3728,2997,0.922079,2.739748,180.991394,188.424283,86589.078125,87859.187500,65224.000000,66496.281250,21365.080078,21352.869141,0.000000,10.032124,0.422222,0.407937,
"[-2981.125370,-8787.702734,21.761949]",929,2372,0.847416,0.392300,161.742615,133.364299,91482.414063,91044.750000,70117.328125,69679.710938,21365.080078,21364.830078,0.000000,0.214800,0.358730,0.350794,
"[-2799.717016,-9344.330654,11.684429]",3156,3098,1.832857,2.269069,226.370544,217.679846,79679.531250,82892.960938,58314.449219,61529.929688,21365.080078,21356.707031,0.000000,6.340816,0.401587,0.382540,
"[-3321.547228,-9361.615982,14.293554]",3225,1011,3.211362,0.383630,310.016296,276.914654,59260.867188,55557.058594,37895.785156,34192.085938,21365.080078,21364.837891,0.000000,0.123626,0.660317,0.701587,
"[-3230.926990,-9094.735897,18.777574]",2158,1373,4.020854,4.490125,293.370667,264.885246,86312.468750,94763.906250,64947.394531,73405.171875,21365.080078,21332.291016,0.000000,26.429785,0.385714,0.387302,
"[-3136.210543,-8907.859305,21.925422]",1410,1752,0.788478,1.149712,149.924179,94.566622,84534.671875,84609.875000,63169.585938,63245.203125,21365.080078,21362.927734,0.000000,1.750679,0.433333,0.390476,
"[-3155.751476,-8667.344389,12.441073]",448,1674,2.259594,1.912644,244.403595,211.044875,59518.675781,61892.042969,38153.597656,40529.550781,21365.080078,21359.126953,0.000000,3.362307,0.696825,0.690476,
"[-2584.800326,-8903.117610,26.243187]",1391,3958,0.217008,0.808883,114.945427,123.596569,78954.898438,77654.851563,57589.804688,56290.062500,21365.080078,21364.015625,0.000000,0.783304,0.461905,0.458730,
"[-3419.721951,-8793.957736,17.524589]",954,618,4.628138,2.856657,9.194892,322.557921,95893.523438,99123.132813,74528.453125,77759.562500,21365.080078,21351.804688,0.000000,11.770998,0.246032,0.266667,
