pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3297.037123,-9454.802060,12.333199]",3598,1109,4.844733,4.604618,324.362885,170.308583,1396803.375000,1393422.500000,1042102.000000,1038835.812500,354702.187500,354129.593750,0.000000,457.455322,0.608515,0.594432,
"[-2810.864078,-9431.127214,10.349841]",3503,3053,0.505245,4.583334,29.234554,309.508757,1936919.000000,2004326.000000,1582218.125000,1649570.125000,354702.187500,354134.812500,0.000000,619.901062,0.371616,0.370742,
"[-2832.453115,-9505.279253,9.871153]",3800,2967,1.171640,0.956703,281.321472,263.104628,2057703.375000,2075757.750000,1703001.000000,1721052.125000,354702.187500,354677.406250,0.000000,28.727091,0.300109,0.299236,
"[-3407.231870,-9076.475326,19.549776]",2084,668,1.968436,2.739303,3.714877,346.376043,1570073.500000,1611823.250000,1215371.500000,1257144.125000,354702.187500,354499.500000,0.000000,179.717331,0.497162,0.495524,
"[-3268.934441,-8890.540348,21.552579]",1341,1221,1.052578,2.456764,102.092682,112.909891,1987716.125000,1958271.125000,1633014.250000,1603547.875000,354702.187500,354539.125000,0.000000,183.336670,0.376201,0.369432,
"[-3377.618291,-9030.941602,19.762443]",1902,786,0.845435,4.171025,56.957970,349.796860,2056078.125000,2058809.375000,1701376.875000,1704036.875000,354702.187500,354232.281250,0.000000,539.413513,0.296507,0.312336,
"[-2957.823982,-8708.674483,20.498878]",613,2466,1.057471,4.191791,80.399467,314.971706,1993378.000000,2059798.000000,1638676.250000,1705035.375000,354702.187500,354227.750000,0.000000,535.280212,0.310699,0.306441,
"[-2989.888572,-8722.933197,20.993181]",670,2337,1.240639,4.228009,121.875938,114.010105,2037735.500000,1961461.875000,1683032.875000,1606686.125000,354702.187500,354219.375000,0.000000,556.470093,0.294541,0.287664,
"[-2784.205141,-9109.499047,17.510763]",2217,3160,0.782583,4.679749,333.669312,305.255696,1686769.875000,1736048.000000,1332068.000000,1381367.500000,354702.187500,354110.750000,0.000000,569.072693,0.506114,0.495306,
"[-3397.830734,-9327.617019,15.201596]",3089,706,0.856763,0.666058,236.459915,234.111406,1546332.875000,1567765.750000,1191630.125000,1213063.875000,354702.187500,354690.062500,0.000000,10.524195,0.557314,0.549891,
"[-3376.476724,-9024.787487,19.753780]",1878,791,0.914017,2.386955,307.104156,287.186059,2063728.250000,2080295.250000,1709026.750000,1725570.375000,354702.187500,354548.312500,0.000000,177.053894,0.296834,0.311900,
"[-3452.390900,-8905.707046,17.744310]",1401,487,4.862024,3.098538,200.818817,162.773965,1851187.750000,1831782.375000,1496485.000000,1477070.250000,354702.187500,354442.750000,0.000000,269.158386,0.365066,0.420742,
"[-3445.340047,-8726.329731,39.397615]",684,516,4.527196,3.993032,328.490875,54.800261,1453157.125000,1412830.875000,1098455.500000,1058204.250000,354702.187500,354271.687500,0.000000,354.390594,0.546288,0.548144,
"[-2870.561293,-9545.566847,9.299246]",3961,2815,0.871727,3.801400,324.345428,278.510622,2163416.250000,2233288.250000,1808712.750000,1878500.125000,354702.187500,354311.875000,0.000000,476.012512,0.180459,0.179258,
"[-3333.802281,-8692.431655,11.110190]",548,962,1.053722,1.381987,165.907562,120.314588,1119312.625000,1124912.000000,764610.000000,770228.500000,354702.187500,354650.406250,0.000000,32.813114,0.720852,0.717904,
