pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-3209.572981,-8703.731014,21.735132]",594,1459,0.988929,3.942926,95.564133,243.777683,1194777.750000,1214432.625000,840075.812500,859730.750000,354702.187500,354702.187500,0.000000,0.000000,0.642358,0.637118,
"[-2708.660296,-9066.588388,16.990388]",2045,3462,2.807942,4.822895,250.451019,169.937356,1661553.125000,1672748.500000,1306851.750000,1318046.375000,354702.187500,354702.187500,0.000000,0.000000,0.496943,0.490175,
"[-2873.616662,-9557.975964,9.367574]",4010,2802,2.589385,2.303843,265.155823,245.929182,2155261.750000,2157389.500000,1800559.750000,1802687.375000,354702.187500,354702.187500,0.000000,0.000000,0.184825,0.182533,
"[-3445.843680,-8966.306581,36.952219]",1644,514,0.660398,2.806188,215.694183,37.768217,2073346.625000,2083373.125000,1718645.500000,1728671.500000,354702.187500,354702.187500,0.000000,0.000000,0.257969,0.251528,
"[-3191.542944,-9221.752792,15.905370]",2666,1531,4.623139,3.924415,188.771240,113.815056,1762084.250000,1776459.125000,1407382.125000,1421756.625000,354702.187500,354702.187500,0.000000,0.000000,0.512118,0.505131,
"[-3483.078894,-8947.070769,20.153171]",1567,365,0.886497,4.639965,60.096123,306.621929,840178.562500,1036665.062500,485476.875000,681962.937500,354702.187500,354702.187500,0.000000,0.000000,0.661900,0.648253,
"[-3184.827847,-8792.377171,20.859964]",948,1558,2.111280,4.280009,315.155121,350.595735,1698484.875000,1728928.000000,1343782.125000,1374225.750000,354702.187500,354702.187500,0.000000,0.000000,0.479694,0.468341,
"[-2899.033305,-9329.163955,13.599418]",3095,2701,1.377503,2.113538,12.723640,239.404697,1346884.375000,1363968.875000,992182.812500,1009267.062500,354702.187500,354702.187500,0.000000,0.000000,0.618996,0.605677,
"[-3422.575868,-8948.449560,19.788530]",1572,607,1.153773,2.859902,278.071014,50.636177,1929799.750000,1963311.000000,1575098.375000,1608608.750000,354702.187500,354702.187500,0.000000,0.000000,0.370087,0.334061,
"[-2995.797858,-9125.540100,17.801683]",2281,2314,2.261693,3.124744,290.378723,257.194430,1424658.125000,1450674.125000,1069955.625000,1095971.500000,354702.187500,354702.187500,0.000000,0.000000,0.631441,0.616703,
"[-2736.561526,-9268.093613,14.355391]",2851,3351,1.349003,1.640627,349.451385,119.560731,1530650.250000,1657156.625000,1175946.875000,1302454.375000,354702.187500,354702.187500,0.000000,0.000000,0.579367,0.519541,
"[-3382.856067,-8946.028269,19.791984]",1563,766,0.715588,2.306026,91.540123,95.227740,2131134.500000,2127370.500000,1776432.750000,1772669.875000,354702.187500,354702.187500,0.000000,0.000000,0.238974,0.244323,
"[-3275.246632,-9179.212053,16.999096]",2495,1196,1.604752,2.019542,355.053497,94.620346,1432909.500000,1463590.500000,1078208.375000,1108888.500000,354702.187500,354702.187500,0.000000,0.000000,0.564629,0.552293,
"[-2622.404871,-8993.983284,15.468275]",1755,3807,0.721577,0.573691,171.881561,125.662813,1900892.000000,1916211.625000,1546189.875000,1561509.250000,354702.187500,354702.187500,0.000000,0.000000,0.415393,0.401856,
"[-2861.798091,-8771.997971,21.252748]",867,2850,0.623539,4.959898,1.290431,272.993544,1951097.375000,1967800.875000,1596394.625000,1613098.375000,354702.187500,354702.187500,0.000000,0.000000,0.321288,0.317031,
"[-2701.407991,-9180.893505,16.042951]",2502,3491,0.618106,2.883166,82.377747,330.834717,1100976.000000,1179300.500000,746274.250000,824598.375000,354702.187500,354702.187500,0.000000,0.000000,0.636572,0.615939,
"[-3138.762279,-8942.228187,21.797659]",1547,1742,2.208930,1.014667,284.200470,318.124640,1758499.500000,1785911.250000,1403797.500000,1431209.125000,354702.187500,354702.187500,0.000000,0.000000,0.472052,0.453275,
